opportunity,leg,time_ms,price,atr5m,confirm,invalidated,stop_composed,rr,kind,actual_guard,corrected_guard,status,bar_open_ms
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788451080000,29529.75,38.43553432120337,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788451020000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788451140000,29531.5,38.43553432120337,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788451080000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788451200000,29538.25,38.774820035488894,false,false,29364.25,1.1853595890411095,limit,outside_band,outside_band,waiting_confirm,1788451140000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788451260000,29529.5,36.969475747239684,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788451200000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788451320000,29527.75,37.0587614615254,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788451260000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788451380000,29529.25,37.14804717581111,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788451320000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788451440000,29529.5,37.219475747239684,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788451380000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788451500000,29512.5,37.93376146152578,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788451440000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788451560000,29513,35.79563564284537,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788451500000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788451620000,29506.5,36.313492785702515,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788451560000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788451680000,29506.5,36.313492785702515,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788451620000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788451740000,29509,36.313492785702515,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788451680000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788451800000,29510.25,36.3492070714165,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788451740000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788451860000,29519.25,34.69926370917246,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788451800000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788451920000,29507.5,34.806406566315324,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788451860000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788451980000,29508.5,34.94926370917246,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788451920000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788452040000,29510.25,34.94926370917246,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788451980000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788452100000,29519.25,35.14569228060129,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788452040000
