opportunity,checkpoints,statuses,pass_local_count,first_pass_ct,actual_send_checkpoints,corrected_send_checkpoints,guard_values,first_actual_send_ct,fills,pnl_points
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v8/S2,38,"{""waiting_confirm"": 38}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v9/S3,37,"{""waiting_confirm"": 37}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v10/S1,26,"{""waiting_confirm"": 3, ""rr_refused"": 23}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v10/S3,26,"{""waiting_confirm"": 26}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v10/S4,26,"{""waiting_confirm"": 26}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v11/S2,28,"{""waiting_confirm"": 28}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v11/S4,28,"{""waiting_confirm"": 28}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v12/S3,48,"{""waiting_confirm"": 13, ""passes_known_local_checks"": 20, ""invalidation_refused"": 15}",20,2026-09-02T14:10:00-05:00,16,16,cancel_marketable;send_limit,2026-09-02T14:10:00-05:00,UNMEASURABLE,UNMEASURABLE
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S3,14,"{""waiting_confirm"": 14}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v4/S1,17,"{""waiting_confirm"": 17}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v4/S3,17,"{""waiting_confirm"": 17}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v5/S1,22,"{""waiting_confirm"": 22}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,19,"{""waiting_confirm"": 3, ""rr_refused"": 16}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S1,63,"{""waiting_confirm"": 63}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v8/S1,33,"{""waiting_confirm"": 32, ""recorded_dormant_requires_fresh_authorization"": 1}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v8/S2,33,"{""waiting_confirm"": 32, ""recorded_dormant_requires_fresh_authorization"": 1}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
