id,plan_id,plan_version,cited_scenario_id,plan_trade_date,plan_session,source,side,entry_quantity,entry_time,exit_time,entry_price,exit_price,pnl_corrected,close_reason,mae,mfe,eligible
539,UNRESOLVABLE,2,off-plan,,,system,SHORT,1.0,1787302449656,1787306411326,29453.0,29495.25,-84.5,sync,43.0,42.25,False
540,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,2026-08-21,LONDON,system,LONG,1.0,1787306680461,1787310076685,29509.0,29460.0,-98.0,sync,50.0,6.5,True
541,2026-08-21:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,2026-08-21,LONDON,system,LONG,1.0,1787311607785,1787318022696,29511.75,29470.25,-83.0,sync,42.25,28.0,True
542,2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S2,2026-08-21,NY,system,SHORT,1.0,1787320143292,1787322462787,29310.0,29310.0,0.0,sync,35.5,89.75,True
543,2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S2,2026-08-21,NY,system,SHORT,1.0,1787325163217,1787326470700,29355.75,29400.0,-88.5,sync,45.0,25.0,True
544,2026-08-21:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S1,2026-08-21,NY,system,SHORT,1.0,1787327265787,1787327509227,29445.0,29475.75,-61.5,sync,31.5,19.5,True
545,UNRESOLVABLE,0,,,,system,LONG,1.0,1787542090280,1787542345368,29298.5,29283.75,-29.5,sync,15.25,3.0,False
546,UNRESOLVABLE,0,,,,system,LONG,1.0,1787573202596,1787574773287,29222.5,29178.25,-88.5,sync,51.0,9.75,False
547,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S2,2026-08-24,NY,system,SHORT,1.0,1787580585134,1787581850877,28968.75,29038.5,-139.5,sync,73.25,15.25,True
548,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,2026-08-24,NY,system,SHORT,1.0,1787583313785,1787585344309,29092.75,29120.0,-54.5,sync,44.75,58.5,True
549,2026-08-24:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,S2,2026-08-24,NY,system,SHORT,1.0,1787588810349,1787594145174,29201.5,29116.75,169.5,sync,10.5,85.5,True
550,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,2026-08-24,ASIA,system,SHORT,1.0,1787622214378,1787625115057,29123.75,29166.0,-84.5,sync,42.5,20.25,True
551,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,2026-08-24,ASIA,system,SHORT,1.0,1787625786798,1787627344859,29163.0,29163.0,0.0,sync,0.5,69.75,True
552,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,2026-08-24,ASIA,system,SHORT,1.0,1787627825020,1787627988172,29166.25,29170.0,-7.5,sync,5.5,10.0,True
553,2026-08-24:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S2,2026-08-24,ASIA,system,SHORT,1.0,1787630586859,1787630723285,29178.5,29192.0,-27.0,sync,18.0,0.0,True
554,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S2,2026-08-25,LONDON,system,SHORT,1.0,1787641758864,1787646277376,29269.0,29300.0,-62.0,sync,58.75,58.0,True
555,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S2,2026-08-25,LONDON,system,LONG,1.0,1787649559289,1787651863713,29328.0,29412.0,168.0,sync,22.5,92.0,True
556,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,2026-08-25,LONDON,system,LONG,1.0,1787655848500,1787656183070,29336.0,29316.0,-40.0,sync,33.5,0.75,True
557,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,2026-08-25,LONDON,system,LONG,1.0,1787656476930,1787661054988,29337.5,29360.75,46.5,sync,17.25,71.75,True
558,2026-08-25:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,2026-08-25,LONDON,system,LONG,1.0,1787662601774,1787663702041,29339.25,29328.0,-22.5,sync,27.5,5.75,True
559,2026-08-25:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S4,2026-08-25,NY,system,LONG,1.0,1787667281458,1787668202197,29246.25,29207.0,-78.5,sync,100.75,23.5,True
560,2026-08-25:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S3,2026-08-25,NY,system,SHORT,1.0,1787683989352,1787686216895,29263.0,29222.5,81.0,sync,3.0,50.5,True
561,2026-08-25:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,S1,2026-08-25,ASIA,system,LONG,1.0,1787703104205,1787703939651,29221.25,29195.25,-52.0,sync,30.0,17.5,True
562,2026-08-26:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S2,2026-08-26,LONDON,system,SHORT,1.0,1787728926645,1787742109269,29212.0,29261.25,-98.5,sync,51.25,25.75,True
563,2026-08-26:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,9,S1,2026-08-26,LONDON,system,LONG,1.0,1787742765384,1787744284225,29244.0,29219.25,-49.5,sync,29.5,34.75,True
564,2026-08-27:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S3,2026-08-27,LONDON,system,SHORT,1.0,1787822385609,1787823144273,29585.25,29619.75,-69.0,sync,36.75,6.75,True
565,2026-08-27:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S1,2026-08-27,LONDON,system,SHORT,1.0,1787827992777,1787828737791,29580.0,29611.25,-62.5,sync,32.75,4.25,True
566,UNRESOLVABLE,0,,,,reconcile,LONG,1.0,1787848373019,1787850109019,29611.5,29660.0,97.0,sync,,,False
567,2026-08-27:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,12,S1,2026-08-27,ASIA,reconcile,SHORT,1.0,1787898124014,1787900267898,29621.0,29642.0,-42.0,sync,21.5,28.5,True
568,2026-08-28:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S1,2026-08-28,LONDON,reconcile,SHORT,1.0,1787919586429,1787919782166,29642.0,29658.0,-32.0,sync,17.0,1.75,True
569,2026-08-28:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,S1,2026-08-28,NY,reconcile,SHORT,1.0,1787924668684,1787924728951,29700.0,29668.5,63.0,sync,0.0,36.0,True
570,2026-08-28:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S2,2026-08-28,NY,reconcile,LONG,1.0,1787937021714,1787942914951,29463.25,29471.75,17.0,sync,14.5,66.25,True
571,UNRESOLVABLE,0,,,,reconcile,LONG,1.0,1788129513175,1788131593328,29437.0,29414.75,-44.5,sync,22.5,17.0,False
572,TEST-E7:c15c48a6-a036-4991-b4d0-9c9e0b2295b3,0,TEST-E7,TEST-E7,TEST-E7,e7_farside_test,SHORT,1.0,1788147256663,1788147976616,29346.25,29346.25,,e7_farside_test,5.25,8.5,False
573,UNRESOLVABLE,0,,,,e7_farside_test,LONG,1.0,1788148336590,1788148717576,29347.0,29350.0,6.0,e7_farside_test,8.0,7.5,False
574,UNRESOLVABLE,0,,,,e7_farside_test,LONG,2.0,1788148816545,1788149079612,29348.25,29348.0,-1.0,e7_farside_test,5.0,5.25,False
575,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,2026-08-31,NY,reconcile,SHORT,1.0,1788188358333,1788189328351,29437.0,29420.75,32.5,sync,6.0,41.5,True
576,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,2026-08-31,NY,armed_entry,short,1.0,1788188401050,1788188618316,29437.0,29437.0,,reconcile_flat,4.25,41.5,False
577,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S1,2026-08-31,NY,armed_entry,long,1.0,1788197129000,1788197348939,29413.0,29413.0,,reconcile_flat,16.25,0.0,False
578,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S1,2026-08-31,NY,reconcile,LONG,1.0,1788197208950,1788199848747,29413.0,29459.0,92.0,sync,24.75,47.25,True
579,2026-08-31:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S3,2026-08-31,NY,armed_entry,short,1.0,1788199768811,1788199988735,29459.0,0.0,,unresolved,0.0,15.5,False
580,UNRESOLVABLE,0,,,,reconcile,SHORT,1.0,1788201428615,1788201499024,29417.25,29397.5,39.5,sync,0.0,20.75,False
581,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,2026-09-01,LONDON,system,SHORT,1.0,1788249164041,1788249993712,29466.0,29370.75,190.5,sync,2.5,73.5,True
582,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,2026-09-01,LONDON,armed_entry,SHORT,1.0,1788258208858,1788260734279,29246.75,29182.0,129.5,sync,11.25,69.25,True
583,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,S2,2026-09-01,LONDON,system,LONG,1.0,1788262504776,1788263807259,29213.25,29172.0,-82.5,sync,43.25,25.0,True
584,2026-09-01:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,6,S2,2026-09-01,LONDON,reconcile,SHORT,1.0,1788269807953,1788269899464,29138.0,29085.0,106.0,sync,0.0,58.0,True
585,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S1,2026-09-01,NY,armed_entry,SHORT,1.0,1788273068046,1788273640760,29182.0,29220.75,-77.5,sync,38.75,0.0,True
586,2026-09-01:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S3,2026-09-01,NY,reconcile,LONG,1.0,1788287586496,1788288074189,29082.75,29055.75,-54.0,sync,27.5,0.0,True
587,2026-09-01:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,S3,2026-09-01,ASIA,system,LONG,1.0,1788326264539,1788329021861,29079.25,29048.0,-62.5,sync,33.0,25.75,True
588,2026-09-02:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S2,2026-09-02,LONDON,system,LONG,1.0,1788352865663,1788353498565,29082.5,29050.0,-65.0,sync,33.25,0.0,True
589,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,S3,2026-09-02,NY,system,LONG,1.0,1788360064833,1788361167398,29192.5,29115.0,-155.0,sync,80.5,10.25,True
590,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,S4,2026-09-02,NY,system,LONG,1.0,1788363437167,1788364170319,29193.25,29143.75,-99.0,sync,49.75,1.0,True
591,2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,2,S1,2026-09-03,NY,reconcile,SHORT,1.0,1788444314627,1788445245677,29285.0,29355.0,-140.0,sync,75.0,43.5,True
