source,line,text
/home/hoang/nofx/data/nofx_2026-09-02.log,12428,09-02 06:59:50 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] 🔌 dead-man watchdog: NT8 TCP link back UP — sweeping unfilled entries; entries stay BLOCKED until a clean positions/orders reconciliation.
/home/hoang/nofx/data/nofx_2026-09-02.log,12566,09-02 07:01:50 [INFO] trader/auto_trader.go:43 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] ✅ dead-man watchdog: clean positions/orders reconciliation — NEW entries RESUMED.
/home/hoang/nofx/data/nofx_2026-09-02.log,14837,09-02 07:27:51 [WARN] kernel/engine_position.go:229 🛑 MIN-SL REJECT MNQ open_long: sl_too_tight: 22.2 < 1.0×ATR (29.8) — widen or skip
/home/hoang/nofx/data/nofx_2026-09-02.log,14838,09-02 07:27:51 [WARN] kernel/engine_analysis.go:695 ⚠️ AI response parse failed (attempt 1/3) — retrying with the error fed back: decision validation failed: decision #1 validation failed: sl_too_tight: 22.2 < 1.0×ATR (29.8) — widen or skip
/home/hoang/nofx/data/nofx_2026-09-02.log,15074,09-02 07:30:14 [WARN] kernel/engine_analysis.go:695 ⚠️ AI response parse failed (attempt 1/3) — retrying with the error fed back: decision validation failed: decision #1 validation failed: sl_too_tight: stop 29065.50 does not clear the cited level 29058.75 by ≥2 tick(s) — widen or skip
/home/hoang/nofx/data/nofx_2026-09-02.log,15333,09-02 07:32:15 [INFO] rfclone/main.go:240 🔐 BOOT INTEGRITY OK — rev 0d093c3b3a11 · built 2026-09-02T12:22:31Z · expected 0d093c3b3a11 · goldens PASS
/home/hoang/nofx/data/nofx_2026-09-02.log,15367,"09-02 07:32:15 [INFO] kernel/levels_volume_boot.go:26 🪢 netting-orphan wave (class 27, 2026-08-31): netting-flat cancels brackets (C# sweep + Go desync cancel_order) · exit reconstruction from the netting fill (never exit=entry; unknown → UNRESOLVED+alarm) · dedupe 577/578 class · one-live-arm guard (opposite-side refused while open; kind=exit escapes) · split legs > capacity rejected (capacity=1 unless max_contracts_per_order raises)"
/home/hoang/nofx/data/nofx_2026-09-02.log,15410,09-02 07:32:15 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] 🚨 dead-man watchdog: NT8 TCP link DOWN — NEW entries BLOCKED until a clean reconciliation. Open positions & exits are unaffected.
/home/hoang/nofx/data/nofx_2026-09-02.log,15428,"09-02 07:32:15 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] ⏳ skipping decision cycle #1 — no balance frame yet (equity 0, waiting for the NT8 AddOn)"
/home/hoang/nofx/data/nofx_2026-09-02.log,15548,09-02 07:34:15 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] 🔌 dead-man watchdog: NT8 TCP link back UP — sweeping unfilled entries; entries stay BLOCKED until a clean positions/orders reconciliation.
/home/hoang/nofx/data/nofx_2026-09-02.log,15703,09-02 07:36:15 [INFO] trader/auto_trader.go:43 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] ✅ dead-man watchdog: clean positions/orders reconciliation — NEW entries RESUMED.
/home/hoang/nofx/data/nofx_2026-09-02.log,16710,09-02 07:49:06 [INFO] clone0b2/main.go:240 🔐 BOOT INTEGRITY OK — rev 4175e0b62de7 · built 2026-09-02T12:44:37Z · expected 4175e0b62de7 · goldens PASS
/home/hoang/nofx/data/nofx_2026-09-02.log,16744,"09-02 07:49:06 [INFO] kernel/levels_volume_boot.go:26 🪢 netting-orphan wave (class 27, 2026-08-31): netting-flat cancels brackets (C# sweep + Go desync cancel_order) · exit reconstruction from the netting fill (never exit=entry; unknown → UNRESOLVED+alarm) · dedupe 577/578 class · one-live-arm guard (opposite-side refused while open; kind=exit escapes) · split legs > capacity rejected (capacity=1 unless max_contracts_per_order raises)"
/home/hoang/nofx/data/nofx_2026-09-02.log,16788,09-02 07:49:06 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] 🚨 dead-man watchdog: NT8 TCP link DOWN — NEW entries BLOCKED until a clean reconciliation. Open positions & exits are unaffected.
