opportunity,leg,status,reason,kind,entry,authored_stop,target
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S3,,disabled,stored arm is absent or disabled,,,,
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S4,0,checkpoint_evaluated,,limit,29317.25,29348,29246.25
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v8/S1,,disabled,stored arm is absent or disabled,stop_entry,,,
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v8/S2,0,checkpoint_evaluated,,limit,29058.75,29032,29161.16
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v9/S1,,disabled,stored arm is absent or disabled,limit,,,
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v9/S2,,disabled,stored arm is absent or disabled,,,,
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v9/S3,0,checkpoint_evaluated,,limit,29317.25,29344.75,29246.25
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v10/S1,0,checkpoint_evaluated,,limit,29163.99,29138.75,29246.25
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v10/S2,,disabled,stored arm is absent or disabled,limit,,,
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v10/S3,0,checkpoint_evaluated,,limit,29317.25,29342.5,29246.25
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v10/S4,0,checkpoint_evaluated,,limit,29058.75,29086.75,28927.25
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v11/S1,,disabled,stored arm is absent or disabled,stop_entry,,,
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v11/S2,0,checkpoint_evaluated,,limit,29001.75,28972.75,29102
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v11/S3,,disabled,stored arm is absent or disabled,limit,,,
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v11/S4,0,checkpoint_evaluated,,limit,29317.25,29345.25,29246.25
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v12/S1,,disabled,stored arm is absent or disabled,limit,,,
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v12/S2,,disabled,stored arm is absent or disabled,stop_entry,,,
2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v12/S3,0,checkpoint_evaluated,,limit,29166.8,29199.5,29058.75
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v1/S1,,disabled,stored arm is absent or disabled,stop_entry,,,
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v1/S2,,disabled,stored arm is absent or disabled,limit,,,
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v1/S3,,disabled,stored arm is absent or disabled,,,,
