rowid,symbol,tf,open_time_ms,o,h,l,c,v,convention
434841,MNQ,1m,1788328380000,29081.25,29081.25,29074.25,29075.0,686.0,epoch_floor
434842,MNQ,1m,1788328440000,29074.75,29075.0,29062.0,29063.75,1338.0,epoch_floor
434843,MNQ,1m,1788328500000,29063.75,29071.0,29062.0,29067.5,769.0,epoch_floor
434844,MNQ,1m,1788328560000,29067.75,29078.0,29066.5,29070.75,997.0,epoch_floor
434845,MNQ,1m,1788328620000,29070.5,29073.5,29067.75,29068.5,352.0,epoch_floor
434846,MNQ,1m,1788328680000,29069.25,29073.75,29069.25,29073.5,243.0,epoch_floor
434847,MNQ,1m,1788328740000,29072.75,29074.25,29070.0,29071.5,303.0,epoch_floor
434848,MNQ,1m,1788328800000,29072.5,29082.75,29062.5,29068.0,1493.0,epoch_floor
434849,MNQ,1m,1788328860000,29068.5,29072.0,29053.5,29058.25,1527.0,epoch_floor
434850,MNQ,1m,1788328920000,29058.0,29059.5,29052.0,29055.5,766.0,epoch_floor
434851,MNQ,1m,1788328980000,29055.5,29055.75,29046.25,29047.75,844.0,epoch_floor
434852,MNQ,1m,1788329040000,29047.25,29049.25,29043.25,29046.25,755.0,epoch_floor
434853,MNQ,1m,1788329100000,29046.25,29048.5,29042.5,29045.25,852.0,epoch_floor
434854,MNQ,1m,1788329160000,29045.5,29047.5,29041.5,29043.75,487.0,epoch_floor
434855,MNQ,1m,1788329220000,29044.5,29046.5,29042.0,29043.5,454.0,epoch_floor
434856,MNQ,1m,1788329280000,29044.0,29049.75,29043.0,29047.5,539.0,epoch_floor
434857,MNQ,1m,1788329340000,29047.75,29054.0,29045.0,29051.25,722.0,epoch_floor
434858,MNQ,1m,1788329400000,29051.0,29053.5,29043.75,29047.75,785.0,epoch_floor
434859,MNQ,1m,1788329460000,29047.5,29048.25,29043.0,29044.5,485.0,epoch_floor
434860,MNQ,1m,1788329520000,29044.75,29048.5,29044.0,29045.75,348.0,epoch_floor
434861,MNQ,1m,1788329580000,29047.0,29058.25,29046.25,29053.0,1105.0,epoch_floor
434862,MNQ,1m,1788329640000,29053.0,29055.25,29044.5,29049.0,592.0,epoch_floor
