position_id,leg,price,method,fill_id,trade_id,time_used_ms,bar_id,bar_open_time_ms,bar_low,bar_high,inside,adverse_extreme,favorable_extreme
537,exit,29400.0,position_exit_time,,,1787294140952,423842,1787294100000,29393.25,29402.25,True,False,False
538,entry,29388.25,trader_fills,358,<nil>-1787294426611224784,1787294426611,423847,1787294400000,29387.0,29390.5,True,False,False
538,exit,29373.0,position_exit_time,,,1787294701430,423852,1787294700000,29366.75,29374.25,True,False,False
540,entry,29509.0,trader_fills,360,<nil>-1787306680459433500,1787306680459,424051,1787306640000,29506.25,29511.0,True,False,False
540,exit,29460.0,position_exit_time,,,1787310076685,424108,1787310060000,29459.0,29466.25,True,False,False
541,entry,29511.75,trader_fills,361,<nil>-1787311607781685747,1787311607781,424133,1787311560000,29508.5,29524.25,True,False,False
541,exit,29470.25,position_exit_time,,,1787318022696,424240,1787317980000,29467.75,29479.75,True,False,False
542,entry,29310.0,trader_fills,362,<nil>-1787320143287562872,1787320143287,424276,1787320140000,29308.5,29340.25,True,False,False
542,exit,29310.0,position_exit_time,,,1787322462787,424314,1787322420000,29286.5,29312.75,True,False,False
543,entry,29355.75,trader_fills,363,<nil>-1787325163212938250,1787325163212,424359,1787325120000,29353.75,29362.5,True,False,False
543,exit,29400.0,position_exit_time,,,1787326470700,424381,1787326440000,29392.5,29405.25,True,False,False
544,entry,29445.0,trader_fills,364,<nil>-1787327265785696878,1787327265785,424394,1787327220000,29441.0,29448.75,True,False,False
544,exit,29475.75,position_exit_time,,,1787327509227,424398,1787327460000,29457.75,29476.5,True,False,False
547,entry,28968.75,trader_fills,369,<nil>-1787580585132850016,1787580585132,425677,1787580540000,28960.5,28982.0,True,False,False
547,exit,29038.5,fill_price_side_nearest_time,370,nt8-exit-547,1787581850877,425698,1787581800000,29001.5,29042.0,True,False,False
548,entry,29092.75,trader_fills,371,<nil>-1787583313782468564,1787583313782,425723,1787583300000,29087.0,29099.75,True,False,False
548,exit,29120.0,fill_price_side_nearest_time,372,nt8-exit-548,1787585344309,425757,1787585340000,29101.25,29137.5,True,False,False
549,entry,29201.5,trader_fills,373,<nil>-1787588810348490519,1787588810348,425814,1787588760000,29198.25,29206.5,True,False,False
549,exit,29116.75,fill_price_side_nearest_time,374,nt8-exit-549,1787594145174,425903,1787594100000,29116.0,29124.5,True,False,False
550,entry,29123.75,trader_fills,375,<nil>-1787622214374343722,1787622214374,426311,1787622180000,29122.0,29140.25,True,False,False
550,exit,29166.0,fill_price_side_nearest_time,376,nt8-exit-550,1787625115057,426359,1787625060000,29143.25,29167.0,True,False,False
551,entry,29163.0,trader_fills,377,<nil>-1787625786794801196,1787625786794,426371,1787625780000,29147.5,29166.5,True,False,False
551,exit,29163.0,fill_price_side_nearest_time,378,nt8-exit-551,1787627344859,426397,1787627340000,29142.75,29166.5,True,False,False
552,entry,29166.25,trader_fills,379,<nil>-1787627825014546955,1787627825014,426405,1787627820000,29157.5,29168.0,True,False,False
552,exit,29170.0,fill_price_side_nearest_time,380,nt8-exit-552,1787627988172,426407,1787627940000,29161.5,29175.0,True,False,False
553,entry,29178.5,trader_fills,381,<nil>-1787630586855638368,1787630586855,426451,1787630580000,29176.0,29183.25,True,False,False
553,exit,29192.0,fill_price_side_nearest_time,382,nt8-exit-553,1787630723285,426453,1787630700000,29185.25,29196.5,True,False,False
554,entry,29269.0,trader_fills,383,<nil>-1787641758859678939,1787641758859,426637,1787641740000,29268.75,29273.75,True,False,False
554,exit,29300.0,fill_price_side_nearest_time,384,nt8-exit-554,1787646277376,426712,1787646240000,29263.5,29327.75,True,False,False
555,entry,29328.0,trader_fills,385,<nil>-1787649559285951541,1787649559285,426767,1787649540000,29326.0,29334.5,True,False,False
555,exit,29412.0,fill_price_side_nearest_time,386,nt8-exit-555,1787651863713,426805,1787651820000,29392.5,29420.0,True,False,False
556,entry,29336.0,trader_fills,387,<nil>-1787655848497332712,1787655848497,426872,1787655840000,29333.0,29339.5,True,False,False
556,exit,29316.0,fill_price_side_nearest_time,388,nt8-exit-556,1787656183070,426877,1787656140000,29302.5,29331.75,True,False,False
557,entry,29337.5,trader_fills,389,<nil>-1787656476928210365,1787656476928,426882,1787656440000,29333.0,29341.5,True,False,False
557,exit,29360.75,fill_price_side_nearest_time,390,nt8-exit-557,1787661054988,426958,1787661000000,29359.25,29374.0,True,False,False
558,entry,29339.25,trader_fills,391,<nil>-1787662601772567663,1787662601772,426984,1787662560000,29333.25,29340.0,True,False,False
558,exit,29328.0,fill_price_side_nearest_time,392,nt8-exit-558,1787663702041,427003,1787663700000,29322.0,29332.75,True,False,False
559,entry,29246.25,trader_fills,393,<nil>-1787667281452716666,1787667281452,427062,1787667240000,29239.5,29263.5,True,False,False
559,exit,29207.0,fill_price_side_nearest_time,394,nt8-exit-559,1787668202197,427078,1787668200000,29145.5,29216.75,True,False,False
