dimension,cell,n,W,L,F,sum_usd,mean_usd,mean_normal95_lo,mean_normal95_hi,win_decided,win_rate,wilson_lo,wilson_hi,R_n,R_mean,R_p50,hold_p25,hold_p50,hold_p75,days,verdict,ids,R_ids
era,pre_0B,55,18,35,2,-72.42857199999708,-1.3168831272726742,-28.644687854139377,26.010921599594027,53,0.33962264150943394,0.22686862857429077,0.4740546388917903,8,0.40442239654832224,0.3178780284043442,12.322575,29.7528,59.932883333333336,11,descriptive; no demonstrated positive edge,"521,522,523,524,525,526,527,528,529,531,532,533,534,535,536,537,538,540,541,542,543,544,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,567,568,569,570,575,578,581,582,583,584,585,586,587,588","568,570,575,578,582,584,585,586"
cme_day,2026-08-18,4,3,1,0,469.0,117.25,-17.16876865477778,251.66876865477778,4,0.75,0.30063605244263664,0.9544139373553638,0,,,12.745458333333334,39.41286666666667,67.83389166666666,1,NO VERDICT: n<30,"521,522,523,524",
cme_day,2026-08-19,7,2,5,0,33.571428000002925,4.795918285714704,-120.06957577793321,129.66141234936262,7,0.2857142857142857,0.08221716570901548,0.6410709098517873,0,,,33.673833333333334,48.08906666666667,80.315125,1,NO VERDICT: n<30,"525,526,527,528,529,531,532",
cme_day,2026-08-20,11,2,8,1,-407.5,-37.04545454545455,-76.21213253150297,2.12122344059388,10,0.2,0.05668094798069332,0.5098431532792765,0,,,17.009816666666666,56.60373333333333,80.43215833333333,1,NO VERDICT: n<30,"533,534,535,536,537,538,540,541,542,543,544",
cme_day,2026-08-23,3,1,2,0,-24.5,-8.166666666666666,-188.80004170510682,172.4667083717735,3,0.3333333333333333,0.061490315276160515,0.7923450448735121,0,,,27.468891666666668,33.84206666666667,61.37790833333333,1,NO VERDICT: n<30,"547,548,549",
cme_day,2026-08-24,11,3,7,1,-26.5,-2.409090909090909,-46.994992182887025,42.17681036470521,10,0.3,0.10778928748621182,0.6032267800204347,0,,,10.460908333333332,25.967683333333333,43.37585833333333,1,NO VERDICT: n<30,"550,551,552,553,554,555,556,557,558,559,560",
cme_day,2026-08-25,3,0,3,0,-200.0,-66.66666666666667,-97.89538493118154,-35.437948402151804,3,0.0,0.0,0.5615060804490177,0,,,19.619058333333335,25.314016666666667,122.51220833333332,1,NO VERDICT: n<30,"561,562,563",
cme_day,2026-08-26,2,0,2,0,-131.5,-65.75,-72.12,-59.38,2,0.0,0.0,0.6576280471103807,0,,,12.473775,12.53065,12.587525,1,NO VERDICT: n<30,"564,565",
cme_day,2026-08-27,4,2,2,0,6.0,1.5,-45.963441369823435,48.963441369823435,4,0.5,0.15003570882017145,0.8499642911798285,2,-0.37218045112781956,-0.3721804511278195,2.697825,19.496841666666665,51.35370416666667,1,NO VERDICT: n<30,"567,568,569,570","568,570"
cme_day,2026-08-30,2,2,0,0,124.5,62.25,3.940000000000005,120.56,2,1.0,0.3423719528896193,1.0,2,0.6523700373211084,0.6523700373211085,23.124379166666667,30.081791666666668,37.039204166666664,1,NO VERDICT: n<30,"575,578","575,578"
