case,open_time_ms,o,h,l,c
minsl_cycle27229,1788454800000,29528.5,29534.25,29520.0,29520.5
minsl_cycle27229,1788454860000,29520.25,29530.75,29519.75,29529.5
minsl_cycle27229,1788454920000,29529.25,29530.0,29510.25,29510.25
minsl_cycle27229,1788454980000,29510.5,29515.25,29508.75,29512.0
minsl_cycle27229,1788455040000,29512.0,29519.75,29511.0,29519.25
minsl_cycle27229,1788455100000,29519.5,29520.25,29514.5,29518.0
minsl_cycle27229,1788455160000,29517.75,29519.0,29506.75,29506.75
minsl_cycle27229,1788455220000,29506.75,29508.5,29503.75,29504.75
minsl_cycle27229,1788455280000,29505.0,29508.25,29495.75,29498.0
minsl_cycle27229,1788455340000,29498.25,29499.5,29492.25,29493.0
minsl_cycle27229,1788455400000,29492.75,29499.0,29490.25,29498.25
minsl_cycle27229,1788455460000,29498.25,29501.75,29495.75,29498.25
minsl_cycle27229,1788455520000,29498.75,29499.25,29489.5,29492.75
minsl_cycle27229,1788455580000,29492.5,29495.5,29489.5,29491.0
minsl_cycle27229,1788455640000,29491.25,29494.5,29486.5,29490.5
minsl_cycle27229,1788455700000,29490.5,29497.5,29490.25,29492.75
minsl_cycle27229,1788455760000,29492.75,29495.25,29489.25,29492.0
minsl_cycle27229,1788455820000,29492.25,29499.75,29491.25,29498.25
minsl_cycle27229,1788455880000,29497.75,29500.75,29492.0,29493.0
minsl_cycle27229,1788455940000,29493.5,29498.5,29484.0,29486.5
minsl_cycle27229,1788456000000,29486.25,29486.75,29477.0,29482.0
leg3_LONDON_v1_S2,1788505260000,29582.5,29587.25,29577.25,29587.0
leg3_LONDON_v1_S2,1788505320000,29587.25,29588.0,29582.0,29584.5
leg3_LONDON_v1_S2,1788505380000,29584.5,29586.5,29581.5,29583.0
leg3_LONDON_v1_S2,1788505440000,29583.5,29598.5,29583.25,29594.5
leg3_LONDON_v1_S2,1788505500000,29593.75,29595.25,29584.0,29593.25
leg3_LONDON_v1_S2,1788505560000,29592.25,29595.75,29590.0,29592.75
leg3_LONDON_v1_S2,1788505620000,29592.75,29597.0,29591.5,29596.75
leg3_LONDON_v1_S2,1788505680000,29596.25,29603.75,29595.75,29602.75
leg3_LONDON_v1_S2,1788505740000,29602.75,29605.0,29599.25,29604.75
leg3_LONDON_v1_S2,1788505800000,29605.0,29610.75,29603.25,29605.25
leg3_LONDON_v1_S2,1788505860000,29604.75,29618.25,29604.25,29616.0
leg3_LONDON_v1_S2,1788505920000,29615.75,29617.75,29607.75,29613.75
leg3_LONDON_v1_S2,1788505980000,29613.75,29617.25,29611.5,29617.0
leg3_LONDON_v1_S2,1788506040000,29617.5,29623.75,29616.75,29619.75
leg3_LONDON_v1_S2,1788506100000,29619.5,29622.25,29617.25,29619.25
leg3_LONDON_v1_S2,1788506160000,29619.25,29620.75,29606.0,29619.0
leg3_LONDON_v1_S2,1788506220000,29619.0,29619.25,29614.0,29615.75
leg3_LONDON_v1_S2,1788506280000,29616.25,29619.5,29612.75,29615.75
leg3_LONDON_v1_S2,1788506340000,29616.25,29620.0,29614.5,29617.25
leg3_LONDON_v1_S2,1788506400000,29618.75,29622.75,29615.75,29620.5
leg3_LONDON_v1_S2,1788506460000,29620.5,29622.5,29615.25,29617.25
