id,plan_id,version,session,scenario,rule,condition,direction,entry_px,stop_px,target_px,fill_px,rr,atr5m,mfe,mae,mfe_r,mae_r,time_to_mfe_bars,time_to_resolve_bars,net_pnl,outcome,ambiguous,is_counterfactual,created_ct
102,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,S4,1x5m_close,reject,short,29067.75,29343.0,29246.25,29067.75,-0.998343626815269,27.2876721671156,0.0,0.0,0.0,0.0,0,0,-116629.0,target,0,0,"2026-09-02 08:30:31"
103,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,S4,2x5m_close,reject,short,29075.25,29343.0,29246.25,29075.25,-0.998343839467974,27.2876721671156,0.0,0.0,0.0,0.0,0,0,-116644.0,target,0,0,"2026-09-02 08:30:31"
104,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,1,NY,S4,1m_mss,reject,short,29065.0,29343.0,29246.25,29065.0,-0.998343548828928,27.2876721671156,0.0,0.0,0.0,0.0,0,0,-116623.5,target,0,0,"2026-09-02 08:32:30"
105,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,3,NY,S4,1m_mss,reject,short,29204.75,29355.0,29209.25,29204.75,-0.997511089101302,34.4409716622331,0.0,0.0,0.0,0.0,0,0,-116829.0,target,0,0,"2026-09-02 09:35:01"
106,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,NY,S1,1x5m_close,reject,long,29177.25,29099.0,29209.25,29177.25,0.408945686900958,35.8240120090539,0.0,0.0,0.0,0.0,0,0,0.0,open,0,0,"2026-09-02 09:46:30"
107,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,NY,S2,1x5m_close,reject,short,29177.25,29354.0,29209.25,29177.25,-0.997526962092899,35.8240120090539,0.0,0.0,0.0,0.0,0,0,0.0,open,0,0,"2026-09-02 09:46:30"
108,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,NY,S1,2x5m_close,reject,long,29154.5,29099.0,29209.25,29154.5,0.986486486486487,35.52535809004,0.0,0.0,0.0,0.0,0,0,0.0,open,0,0,"2026-09-02 09:50:30"
109,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,NY,S2,2x5m_close,reject,short,29154.5,29354.0,29209.25,29154.5,-0.997526000495654,35.52535809004,0.0,0.0,0.0,0.0,0,0,0.0,open,0,0,"2026-09-02 09:50:30"
110,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,NY,S1,touch,reject,long,29135.65,29099.0,29209.25,29135.65,2.00818553888119,35.3385978183026,8.09999999999854,15.4000000000015,0.221009549795313,0.420190995907254,0,0,-14.3000000000029,open,0,0,"2026-09-02 09:55:01"
111,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,NY,S2,1m_mss,reject,short,29110.5,29354.0,29209.25,29110.5,-0.997524138579822,35.7123714435258,0.0,0.0,0.0,0.0,0,0,-116640.5,target,0,0,"2026-09-02 10:02:30"
