DEDUPED seated levels (one per session-day x label x price): 985 from 47 plan-sessions

== by AI grade
key                    seats days touch% 1st:h 1st:b 1st:a p_hold1         wilson95 | all:h all:b  p_all   dist
('EQL', 'LONDON')         20    9   90.0    11     5     2   0.688 [0.444,0.858] |    62    49  0.559   58.9
('PDC', 'ASIA')           18   12   77.8     4     4     6   0.500 [0.215,0.785] |    64    69  0.481  117.6
('SWG-L', 'NY')           18    5   83.3     4     9     2   0.308 [0.127,0.576] |    34    26  0.567   56.8
('SUPPLY', 'ASIA')        17    8   64.7     3     2     6   0.600 [0.231,0.882] |    51    64  0.443   99.0
('DEMAND', 'ASIA')        17    7   70.6     4     6     2   0.400 [0.168,0.687] |    38    47  0.447  133.5
('SWG-H', 'LONDON')       15    6   86.7     6     5     2   0.545 [0.280,0.787] |    34    52  0.395   40.3
('SWG-H', 'NY')           15    5   66.7     5     4     1   0.556 [0.267,0.811] |    18    18  0.500   46.0
('OB', 'NY')              14    7   64.3     5     3     1   0.625 [0.306,0.863] |    16    17  0.485   93.2
('SWG-L', 'LONDON')       14    5   92.9     4     7     2   0.364 [0.152,0.646] |    44    48  0.478   35.4
('PDL', 'ASIA')           13   10   53.8     1     4     2   0.200 [0.036,0.624] |    48    31  0.608  152.3
('RTH-H', 'ASIA')         13   10   46.2     3     0     3   1.000 [0.438,1.000] |    32    25  0.561  154.2
('OR-H', 'NY')            12   11   75.0     4     5     0   0.444 [0.189,0.733] |    27    21  0.562   68.5
('RTH-L', 'ASIA')         10    8   50.0     2     2     1   0.500 [0.150,0.850] |    25    19  0.568  168.9
('ONH', 'LONDON')         10    5   80.0     1     1     6   0.500 [0.095,0.905] |    22    23  0.489   43.3
('OR-L', 'NY')            10   10   90.0     5     3     1   0.625 [0.306,0.863] |    22    18  0.550   58.5
('SUPPLY', 'NY')          10    8   40.0     4     0     0   1.000 [0.510,1.000] |    12     4  0.750  155.7
('eVWAP', 'ASIA')         10    4  100.0     8     0     2   1.000 [0.676,1.000] |    37    55  0.402   32.0
('OR-L', 'ASIA')           9    9   88.9     1     4     3   0.200 [0.036,0.624] |    27    24  0.529   82.0
('OR-H', 'ASIA')           9    9   77.8     2     2     3   0.500 [0.150,0.850] |    35    23  0.603   83.9
