seated-level rows evaluated: 2215 (plans with >=15 bars after created_at, non-WEEKLY)

== by AI grade
key                    seats touched% 1st:hold 1st:brk 1st:amb p_hold1         wilson95 | all:hold all:brk p_hold_all avg_dist
== by distance-at-seat bucket (pts)
key                    seats touched% 1st:hold 1st:brk 1st:amb p_hold1         wilson95 | all:hold all:brk p_hold_all avg_dist
<25                      518     98.5      187     154     169   0.548 [0.495,0.600] |     2244    2319      0.492     11.6
<100                     515     78.4      176     154      74   0.533 [0.479,0.586] |     1310    1218      0.518     71.9
<200                     501     44.5      103      70      50   0.595 [0.521,0.666] |      564     475      0.543    141.7
<50                      404     90.3      149      99     117   0.601 [0.539,0.660] |     1537    1554      0.497     37.0
200+                     277     13.7        8       3      27   0.727 [0.434,0.903] |       52      22      0.703    293.8

== candidate_pool 09-04: SEATED (1) vs CUT (0) — forward from read_at
key                    seats touched% 1st:hold 1st:brk 1st:amb p_hold1         wilson95 | all:hold all:brk p_hold_all avg_dist
cut                      181     16.0       10      11       8   0.476 [0.283,0.676] |       48      40      0.545    218.2
seated                   179     52.5       47      26      21   0.644 [0.529,0.744] |      266     197      0.575    134.5

== candidate_pool 09-04: by kind x seated
key                    seats touched% 1st:hold 1st:brk 1st:amb p_hold1         wilson95 | all:hold all:brk p_hold_all avg_dist
('OB', 'C')              109     14.7        7       4       5   0.636 [0.354,0.848] |       11       6      0.647    228.3
('DEMAND', 'C')           37      2.7        0       0       1     nan [0.000,0.000] |        1       2      0.333    268.3
('DEMAND', 'S')           22      4.5        0       0       1     nan [0.000,0.000] |        5       3      0.625    305.0
('SUPPLY', 'C')           18     16.7        0       3       0   0.000 [0.000,0.562] |        3       6      0.333    175.5
('PDH', 'S')              15     60.0        3       4       2   0.429 [0.158,0.750] |       18      24      0.429     48.3
('ONH', 'S')              15     26.7        2       0       2   1.000 [0.342,1.000] |       34      14      0.708    130.7
('PDC', 'S')              15     66.7        4       6       0   0.400 [0.168,0.687] |       28      27      0.509     47.1
('VWAP', 'S')             15     86.7        6       5       2   0.545 [0.280,0.787] |       27      31      0.466     47.0
('ONL', 'S')              15     80.0       12       0       0   1.000 [0.757,1.000] |       12       0      1.000     87.5
('RTH-H', 'S')            13     92.3        8       2       2   0.800 [0.490,0.943] |       43      11      0.796     43.5
('RTH-L', 'S')            11      0.0        0       0       0     nan [0.000,0.000] |        0       0        nan    352.0
('OB', 'S')                8     50.0        2       0       2   1.000 [0.342,1.000] |       13      10      0.565    113.2
('PDL', 'S')               8      0.0        0       0       0     nan [0.000,0.000] |        0       0        nan    445.4
('OR-H', 'S')              8     25.0        1       1       0   0.500 [0.095,0.905] |        6       4      0.600     75.5
('OR-L', 'S')              8     87.5        1       3       3   0.250 [0.046,0.699] |        1      10      0.091     36.7
('SWG-H', 'S')             6    100.0        2       1       3   0.667 [0.208,0.939] |       28      21      0.571     72.9
('FVG', 'C')               6      0.0        0       0       0     nan [0.000,0.000] |        0       0        nan    125.0
('SWG-L', 'S')             5    100.0        3       2       0   0.600 [0.231,0.882] |       21      12      0.636     68.6
('SUPPLY', 'S')            5     40.0        1       1       0   0.500 [0.095,0.905] |        3       3      0.500    149.2
('VWAP±2σ', 'S')           4     75.0        0       1       2   0.000 [0.000,0.793] |       13      15      0.464     45.1
('EQH', 'C')               4    100.0        0       3       1   0.000 [0.000,0.562] |       12      16      0.429     17.4
