symbol,tf,open_time_ms,o,h,l,c,v
MNQ,1m,1788339240000,28967.25,28968.75,28955.75,28964.0,1980.0
MNQ,1m,1788339300000,28963.75,28970.75,28954.75,28966.5,1778.0
MNQ,1m,1788339360000,28967.5,28984.25,28965.5,28972.0,1803.0
MNQ,1m,1788339420000,28971.75,28975.5,28965.25,28972.0,1140.0
MNQ,1m,1788339480000,28974.25,28974.75,28967.25,28973.25,650.0
MNQ,1m,1788339540000,28974.0,28978.75,28968.0,28978.0,813.0
MNQ,1m,1788339600000,28977.25,28993.0,28974.0,28984.75,2056.0
MNQ,1m,1788339660000,28985.0,28989.75,28978.75,28981.75,851.0
MNQ,1m,1788339720000,28982.0,29008.0,28981.75,29002.0,1713.0
MNQ,1m,1788339780000,29001.75,29016.75,28996.25,29010.25,1622.0
MNQ,1m,1788339840000,29009.5,29011.25,29002.0,29009.75,1037.0
MNQ,1m,1788339900000,29009.5,29025.0,29008.25,29024.75,1262.0
MNQ,1m,1788339960000,29024.5,29027.0,29009.5,29010.75,1166.0
MNQ,1m,1788340020000,29011.25,29012.0,28997.5,29001.0,1285.0
MNQ,1m,1788340080000,29001.5,29008.5,28997.25,29002.25,801.0
MNQ,1m,1788340140000,29002.0,29006.75,28999.5,29000.75,613.0
MNQ,1m,1788340200000,29000.75,29005.75,28997.0,29001.75,870.0
MNQ,1m,1788340260000,29001.0,29008.0,28994.75,28999.5,794.0
MNQ,1m,1788340320000,28999.5,29002.5,28992.25,28994.0,682.0
MNQ,1m,1788340380000,28994.0,28995.75,28986.0,28987.0,908.0
MNQ,1m,1788340440000,28986.5,28986.5,28968.5,28971.25,1338.0
MNQ,1m,1788340500000,28970.75,28978.5,28968.75,28976.75,999.0
MNQ,1m,1788340560000,28976.75,28978.75,28973.5,28976.5,660.0
MNQ,1m,1788340620000,28976.75,28982.5,28970.5,28981.0,854.0
MNQ,1m,1788340680000,28980.5,28993.0,28978.5,28989.5,956.0
MNQ,1m,1788340740000,28989.0,28996.0,28986.5,28990.5,824.0
MNQ,1m,1788340800000,28990.25,28990.25,28976.0,28978.5,980.0
MNQ,1m,1788340860000,28978.5,28982.75,28971.0,28971.25,927.0
MNQ,1m,1788340920000,28972.0,28972.0,28963.25,28965.5,970.0
MNQ,1m,1788340980000,28964.5,28966.5,28956.75,28958.75,916.0
MNQ,1m,1788341040000,28958.5,28969.75,28957.0,28968.25,794.0
MNQ,1m,1788341100000,28968.0,28970.5,28964.75,28964.75,500.0
