ts_ct,session,event,reason,plan_version_in_force,plan_age_min,move_pts_15m,evidence
2026-09-02 10:40:30,NY,skipped,min_interval,2026-09-02:NY v5,17.9,-22.75,09-02 10:40:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29205.00 below 29246.25 (noise 8.35) on NY 2026-09-02 — SKIPPED: 26m elapsed < wake_min_interval_min (30m).
2026-09-02 10:42:30,NY,skipped,min_interval,2026-09-02:NY v5,19.9,-22.75,09-02 10:42:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29205.00 below 29246.25 (noise 8.35) on NY 2026-09-02 — SKIPPED: 28m elapsed < wake_min_interval_min (30m).
2026-09-02 10:44:30,NY,fired,proceed,2026-09-02:NY v5,21.9,-22.75,"09-02 10:44:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29205.00 below 29246.25 (noise 8.35) on NY 2026-09-02 — waking the planner (W6, 5th wake-up)."
2026-09-02 10:45:00,NY,skipped,min_interval,2026-09-02:NY v5,22.4,2.25,09-02 10:45:00 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29182.25 below 29246.25 (noise 7.77) on NY 2026-09-02 — SKIPPED: 1m elapsed < wake_min_interval_min (30m).
2026-09-02 10:46:30,NY,skipped,min_interval,2026-09-02:NY v5,23.9,2.25,09-02 10:46:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29182.25 below 29246.25 (noise 8.06) on NY 2026-09-02 — SKIPPED: 2m elapsed < wake_min_interval_min (30m).
2026-09-02 10:48:30,NY,skipped,min_interval,2026-09-02:NY v5,25.9,2.25,09-02 10:48:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29182.25 below 29246.25 (noise 8.14) on NY 2026-09-02 — SKIPPED: 4m elapsed < wake_min_interval_min (30m).
2026-09-02 10:49:32,NY,skipped,min_interval,2026-09-02:NY v5,27.0,2.25,09-02 10:49:32 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29182.25 below 29246.25 (noise 8.20) on NY 2026-09-02 — SKIPPED: 5m elapsed < wake_min_interval_min (30m).
2026-09-02 10:51:32,NY,skipped,min_interval,2026-09-02:NY v6,0.7,2.25,09-02 10:51:32 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29182.25 below 29246.25 (noise 8.28) on NY 2026-09-02 — SKIPPED: 7m elapsed < wake_min_interval_min (30m).
2026-09-02 10:52:30,NY,skipped,min_interval,2026-09-02:NY v6,1.6,2.25,09-02 10:52:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29182.25 below 29246.25 (noise 8.28) on NY 2026-09-02 — SKIPPED: 8m elapsed < wake_min_interval_min (30m).
2026-09-02 10:54:30,NY,skipped,min_interval,2026-09-02:NY v6,3.6,2.25,09-02 10:54:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29182.25 below 29246.25 (noise 8.28) on NY 2026-09-02 — SKIPPED: 10m elapsed < wake_min_interval_min (30m).
2026-09-02 10:55:00,NY,skipped,min_interval,2026-09-02:NY v6,4.1,2.25,09-02 10:55:00 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29182.25 below 29246.25 (noise 8.28) on NY 2026-09-02 — SKIPPED: 11m elapsed < wake_min_interval_min (30m).
2026-09-02 10:56:30,NY,skipped,min_interval,2026-09-02:NY v6,5.6,2.25,09-02 10:56:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29182.25 below 29246.25 (noise 8.28) on NY 2026-09-02 — SKIPPED: 12m elapsed < wake_min_interval_min (30m).
2026-09-02 10:58:30,NY,skipped,min_interval,2026-09-02:NY v6,7.6,2.25,09-02 10:58:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29182.25 below 29246.25 (noise 8.28) on NY 2026-09-02 — SKIPPED: 14m elapsed < wake_min_interval_min (30m).
2026-09-02 11:00:30,NY,skipped,min_interval,2026-09-02:NY v6,9.6,1.5,09-02 11:00:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29184.50 below 29246.25 (noise 7.85) on NY 2026-09-02 — SKIPPED: 16m elapsed < wake_min_interval_min (30m).
2026-09-02 11:02:30,NY,skipped,min_interval,2026-09-02:NY v6,11.6,1.5,09-02 11:02:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29184.50 below 29246.25 (noise 7.88) on NY 2026-09-02 — SKIPPED: 18m elapsed < wake_min_interval_min (30m).
2026-09-02 11:04:30,NY,skipped,min_interval,2026-09-02:NY v6,13.6,1.5,09-02 11:04:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29184.50 below 29246.25 (noise 7.92) on NY 2026-09-02 — SKIPPED: 20m elapsed < wake_min_interval_min (30m).
2026-09-02 11:05:00,NY,skipped,min_interval,2026-09-02:NY v6,14.1,1.5,09-02 11:05:00 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29184.50 below 29246.25 (noise 8.00) on NY 2026-09-02 — SKIPPED: 21m elapsed < wake_min_interval_min (30m).
2026-09-02 11:06:30,NY,skipped,min_interval,2026-09-02:NY v6,15.6,1.5,09-02 11:06:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29184.50 below 29246.25 (noise 8.01) on NY 2026-09-02 — SKIPPED: 22m elapsed < wake_min_interval_min (30m).
2026-09-02 11:08:30,NY,skipped,min_interval,2026-09-02:NY v6,17.6,1.5,09-02 11:08:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29184.50 below 29246.25 (noise 8.01) on NY 2026-09-02 — SKIPPED: 24m elapsed < wake_min_interval_min (30m).
2026-09-02 11:10:30,NY,skipped,min_interval,2026-09-02:NY v6,19.6,1.5,09-02 11:10:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29184.50 below 29246.25 (noise 8.01) on NY 2026-09-02 — SKIPPED: 26m elapsed < wake_min_interval_min (30m).
2026-09-02 11:12:30,NY,skipped,min_interval,2026-09-02:NY v6,21.6,1.5,09-02 11:12:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29184.50 below 29246.25 (noise 8.01) on NY 2026-09-02 — SKIPPED: 28m elapsed < wake_min_interval_min (30m).
2026-09-02 11:14:30,NY,skipped,min_interval,2026-09-02:NY v6,23.6,1.5,09-02 11:14:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29184.50 below 29246.25 (noise 8.01) on NY 2026-09-02 — SKIPPED: 30m elapsed < wake_min_interval_min (30m).
2026-09-02 11:15:00,NY,fired,proceed,2026-09-02:NY v6,24.1,-34.25,"09-02 11:15:00 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29186.25 below 29246.25 (noise 7.45) on NY 2026-09-02 — waking the planner (W6, 5th wake-up)."
2026-09-02 11:20:30,NY,skipped,min_interval,2026-09-02:NY v7,0.2,-34.25,09-02 11:20:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29186.25 below 29246.25 (noise 7.73) on NY 2026-09-02 — SKIPPED: 5m elapsed < wake_min_interval_min (30m).
2026-09-02 11:22:30,NY,skipped,min_interval,2026-09-02:NY v7,2.2,-34.25,09-02 11:22:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29186.25 below 29246.25 (noise 7.73) on NY 2026-09-02 — SKIPPED: 7m elapsed < wake_min_interval_min (30m).
